0,The Amazing Marble Race Ticket,0.01,A ticket to go see The Amazing Marble Race! But... which one?,True
1,Poup Soop,364400.00,A hole-y drink of Qefpedun origin that contains Poup; acid; lava; rotten flesh and 13 different lethal diseases. Approved by Orange.,True
2,Limited Edition Poup Soop,552387946.00,A special edition of Poup Soop that contains extra Poup; extra acid; extra lava; rotten-er flesh; 14.5 lethal diseases and solid chunks of gold. Approved by Orange.,False
3,Frozen Edition Poup Soop,140732609585.00,A special edition of Poup Soop with all the ingredients of regular Poup Soop frozen with solid chunks of ice. Approved by Orange.,False
4,Orange Edition Poup Soop,180269042735.00,A special edition of Poup Soop with twice the ingredients of regular Poup Soop and the essence of Orange. Approved by Orange.,False
5,Electric Edition Poup Soop,221548933670.00,A special edition of Poup Soop with 20% more lava; 20% more acid and electricity generators inside the barrel. Very good conductor of electricity. Approved by Orange.,False
6,Burning Edition Poup Soop,262310854791.00,A special edition of Poup Soop with three times as much lava. Everything including the barrel is flammable and on fire. Approved by Orange.,False
7,Rotten Edition Poup Soop,303496572188.00,A special edition of Poup Soop with 6.66 times as much rotten flesh; twice as much acid and 21.25 lethal diseases. Approved by Orange.,False
8,Ulteymut Edition Poup Soop,1802201667100.00,The final edition of Poup Soop with three times as much Poup; lava and acid; 47.41394 lethal diseases and several classified ingredients. Approved by Orange.,False
9,Poup Soop Variety Pack,374180952623987.00,Contains 50 of each Poup Soop version currently on sale + Poup Bwedd + Poup Stoo + Poup Joos + HATT MANN action figure. Approved by Orange.,False
